repository,stars,age_years,ai_score,ai_validation_reason
evilsocket/opensnitch,13579,9.1,3,Co-autoria detectada no commit 91d9abe: 'claude'
python-pillow/Pillow,13553,13.8,3,Co-autoria detectada no commit d2b2010: 'copilot'
apache/tvm,13328,9.6,3,Co-autoria detectada no commit 1b94055: 'claude'
sshuttle/sshuttle,13307,11.6,3,Co-autoria detectada no commit 514847e: 'claude'
DLR-RM/stable-baselines3,13208,6.0,3,Co-autoria detectada no commit 088f8f5: 'copilot'
dbcli/pgcli,13145,11.6,3,Co-autoria detectada no commit d935d2d: 'copilot'
pypa/pipx,12778,7.6,3,Co-autoria detectada no commit df716f9: 'copilot'
Kludex/starlette,12279,7.9,3,Co-autoria detectada no commit 0a29b5c: 'copilot'
secdev/scapy,12263,10.6,3,Co-autoria detectada no commit 5b81ba1: 'copilot'
simonw/datasette,11025,8.5,3,Co-autoria detectada no commit b3001c1: 'claude'
numba/numba,11012,14.2,3,Co-autoria detectada no commit 2169737: 'copilot'
cupy/cupy,10925,9.5,3,Co-autoria detectada no commit e24f020: 'claude'
kedro-org/kedro,10863,7.1,3,Co-autoria detectada no commit c97c452: 'copilot'
triton-inference-server/server,10635,7.6,3,Co-autoria detectada no commit bf2bd08: 'copilot'
rq/rq,10625,14.5,3,Co-autoria detectada no commit 8017ad8: 'claude'
nodejs/node-gyp,10609,14.3,3,Co-autoria detectada no commit 7bf371c: 'copilot'
ultralytics/yolov3,10566,7.7,3,Co-autoria detectada no commit 33924cc: 'copilot'
modin-project/modin,10385,7.9,3,Co-autoria detectada no commit a247e27: 'copilot'
vega/altair,10368,10.6,3,Co-autoria detectada no commit 60714c6: 'claude'
fossasia/visdom,10257,9.3,3,Co-autoria detectada no commit e50f5e6: 'copilot'
yzhao062/pyod,9834,8.6,3,Co-autoria detectada no commit 2255af6: 'claude'
django/django,87397,14.0,2,Arquivo detectado: .github/copilot-instructions.md
python-telegram-bot/python-telegram-bot,29077,10.8,2,Arquivo detectado: .github/copilot-instructions.md
Delgan/loguru,23854,8.7,2,Arquivo detectado: .vscode/settings.json
serengil/deepface,22666,6.2,2,Arquivo detectado: .vscode/settings.json
wkentaro/labelme,15819,10.0,2,Arquivo detectado: .claude
idank/explainshell,14044,12.7,2,Arquivo detectado: .claude
ludwig-ai/ludwig,11685,7.4,2,Arquivo detectado: .vscode/settings.json
Chia-Network/chia-blockchain,10847,6.8,2,Arquivo detectado: .cursor
