Repository,AI_Score,Pre_Commits,Post_Commits,Commits_Change_Percent,Pre_Issues,Post_Issues,Issues_Change_Percent,Pre_Avg_Resolution_Hours,Post_Avg_Resolution_Hours,Pre_Fix_Percent,Post_Fix_Percent,MI_Change_Percent
saltstack/salt,3,962,797,-17.15,2378,352,-85.16,28392.383296115266,12801.444426946628,32.12058212058212,41.65621079046424,1.644144888538857
PaddlePaddle/PaddleDetection,3,336,3,-99.11,1278,50,-96.01,3591.9474407018565,15759.36751068376,47.91666666666667,33.33333333333333,-7.678897818809211
geldata/gel,3,586,7,-98.81,282,14,-94.7,8619.467341269841,16359.735,41.46757679180888,28.57142857142857,-5.166934457355159
dask/dask,3,292,109,-62.67,859,165,-80.7,10100.647901348038,5327.653901808785,21.91780821917808,13.761467889908255,2.7999745207391844
evilsocket/opensnitch,3,89,254,185.39,138,147,6.47,5622.531132478633,5453.386226851852,37.07865168539326,25.196850393700785,49.08595805078295
redis/redis-py,8,229,114,-50.22,201,137,-31.68,8294.99675879397,11673.814404761904,16.593886462882097,59.64912280701754,0.4590282174039947
sshuttle/sshuttle,3,49,48,-2.04,74,11,-84.0,7680.131101851851,868.8644444444444,26.53061224489796,47.91666666666667,-9.677999367803974
plasma-umass/scalene,6,528,178,-66.29,64,41,-35.38,4556.24981060606,4663.580424382716,17.803030303030305,45.50561797752809,-5.090492648351706
DLR-RM/stable-baselines3,3,51,17,-66.67,235,35,-84.75,3129.966086956522,3548.806726190476,58.82352941176471,64.70588235294117,-1.2922982179792948
dbcli/pgcli,3,5,21,320.0,150,20,-86.09,43108.77121737509,3547.02311965812,20.0,47.61904761904761,2.319578954697901
python-pillow/Pillow,3,610,529,-13.28,528,86,-83.55,9898.012250938811,4112.793376736111,11.9672131147541,11.153119092627598,-7.296333583168253
pypa/pipx,3,16,85,431.25,141,115,-18.31,16762.76906167979,13887.764700520833,18.75,40.0,-10.111148448844526
Kludex/starlette,3,54,67,24.07,194,20,-89.23,12091.74540927896,16441.073431372548,33.33333333333333,23.88059701492537,-9.045337301080778
icloud-photos-downloader/icloud_photos_downloader,5,27,1,-96.3,63,50,-20.31,18871.050422453704,4048.3384920634926,18.51851851851852,0.0,-12.901749424391012
apache/tvm,3,1000,505,-49.5,399,159,-60.0,12902.929995822891,1857.894304257528,50.8,51.48514851485149,6.967099855734331
secdev/scapy,3,122,72,-40.98,161,48,-69.75,4653.392183048432,2470.6240538194443,40.98360655737705,51.388888888888886,-4.268141240648075
dbt-labs/dbt-core,6,512,252,-50.78,891,659,-26.01,6612.915020762552,6421.328732260297,28.90625,42.46031746031746,11.693693483656624
ludwig-ai/ludwig,2,152,178,17.11,196,52,-73.1,21698.668374433106,13924.664958628846,26.973684210526315,47.19101123595505,-8.1130340822605
kornia/kornia,10,263,178,-32.32,185,363,95.7,21949.89999392836,23489.708481711525,55.13307984790875,65.73033707865169,21.325052056369746
great-expectations/great_expectations,6,560,240,-57.14,365,74,-79.51,4072.358660578386,5099.944482905983,38.75,17.5,21.14147684839517
speechbrain/speechbrain,6,1000,34,-96.6,285,25,-90.91,3234.3855766145207,10935.490858585856,21.4,29.411764705882355,-1.8197233517883888
simonw/datasette,3,184,121,-34.24,256,66,-73.93,5773.957351712615,2894.0304629629627,19.021739130434785,23.96694214876033,-0.2517890468080901
kedro-org/kedro,3,303,122,-59.74,182,249,36.61,5041.03981276857,3894.613241330503,16.5016501650165,48.36065573770492,-6.293207675648168
cupy/cupy,3,1000,744,-25.6,458,209,-54.25,13622.480508996214,8029.28664089347,28.000000000000004,35.08064516129033,-6.48360756295682
numba/numba,3,1000,495,-50.5,912,164,-81.93,14489.878628976488,7843.453524590162,33.2,24.848484848484848,-1.080666594295424
django-cms/django-cms,6,5,121,2320.0,244,61,-74.69,41540.25939986282,16403.350464646468,20.0,58.67768595041323,0.5070482976355565
wandb/wandb,5,307,678,120.85,945,268,-71.56,6113.347977610983,6013.7571288888885,27.36156351791531,35.54572271386431,1.723011608065043
triton-inference-server/server,3,268,110,-58.96,595,170,-71.31,3015.1768666475755,9523.482719478738,42.16417910447761,34.54545454545455,17.45413335019275
rq/rq,3,33,47,42.42,217,25,-88.07,25642.4748018648,7375.975227272726,42.42424242424242,42.5531914893617,-5.895641864746399
nodejs/node-gyp,3,22,39,77.27,270,41,-84.5,8541.76870222222,4097.037410394266,22.727272727272727,33.33333333333333,0.2656856762709861
Chia-Network/chia-blockchain,2,758,462,-39.05,2160,20,-99.03,1275.900458746386,885.8368300653595,24.538258575197887,34.63203463203463,-8.728900071754895
ultralytics/yolov3,3,6,24,300.0,1047,2,-99.71,803.6347683858644,1038.3175,50.0,16.666666666666664,6.1686928278440405
facebookresearch/hydra,6,64,6,-90.62,247,44,-81.85,1637.9433181542197,1700.7111764705885,29.6875,33.33333333333333,0.1256111429166313
fossasia/visdom,3,27,25,-7.41,100,113,12.87,11641.665359477123,27535.631875,3.7037037037037033,20.0,20.554941981165403
vega/altair,3,54,61,12.96,327,52,-83.84,19963.292977346275,7744.87063063063,27.77777777777778,39.34426229508197,-23.377824826058283
modin-project/modin,3,230,1,-99.57,954,9,-98.95,11599.182454874985,0.0,50.43478260869565,100.0,-2.6258472700366555
Netflix/metaflow,6,147,120,-18.37,169,190,12.35,19473.282777777786,9440.80926046176,38.095238095238095,54.16666666666666,-5.238196956050533
yzhao062/pyod,3,125,109,-12.8,62,11,-80.95,8239.781710526313,6088.4209375,26.4,36.69724770642202,-9.601484351014264
pycaret/pycaret,5,642,114,-82.24,1229,388,-68.37,5169.132750655456,29408.02739781232,27.570093457943923,51.75438596491229,18.446314289271665
