Repository,AI_Score,Pre_Avg_MI,Pre_Median_MI,Pre_StdDev_MI,Post_Avg_MI,Post_Median_MI,Post_StdDev_MI,MI_Change_Percent
PrefectHQ/prefect,5,68.12799853937662,63.08799142290859,23.904632816714976,67.99366236401308,65.83610267325358,28.462159571535945,-0.1971820371119516
beetbox/beets,5,58.18249458469697,59.52820171095856,25.83179188172386,58.05826615528569,58.1070627955904,24.18501676216976,-0.2135151307932219
simonw/datasette,3,54.56691360581442,51.98052272591746,28.284490331694983,54.42952009417375,53.010371904509526,28.29787240767655,-0.2517890468080901
nltk/nltk,6,56.917132998421,58.52522726779709,27.536784597220823,56.556228648706224,57.829574276656444,27.336023396457552,-0.6340873664961159
caronc/apprise,4,59.309309322833016,60.29213019694251,12.782175097070656,58.931572880575104,58.49686124157351,19.42385917765012,-0.6368923303453322
TheAlgorithms/Python,5,64.04850695098318,62.60532674362637,14.941192340251233,63.63915582646909,62.9244959415217,14.029905463775316,-0.63912672441743
pyodide/pyodide,5,75.65391888336761,77.67554256890801,22.42595862424966,74.90805725087753,77.24390207708387,24.077074649118117,-0.9858863142832544
pandas-dev/pandas,3,50.2212855120898,48.86787537014119,30.04267116865428,49.72488707068772,47.54440462653251,30.27646391646011,-0.988422411613857
numba/numba,3,54.31926150518708,53.58330119492038,29.444704288820507,53.73225139183255,52.98614506286637,28.931614216028173,-1.080666594295424
django/django,2,66.78969621414278,64.02582539216134,26.89891343873616,66.02777912756468,63.42565180105794,27.889930099325948,-1.140770402870552
AtsushiSakai/PythonRobotics,3,50.534981408940695,45.45534734193423,20.11486960916666,49.89888686217797,45.99808151836236,18.41042685181688,-1.2587212442313909
DLR-RM/stable-baselines3,3,63.51694542971176,57.015838678680616,23.95243040512122,62.69611707580871,57.938355160295096,23.89937698628446,-1.2922982179792948
mitmproxy/mitmproxy,6,59.24628928686496,56.09114458218794,25.511283947580484,58.27020027962186,55.70587249478697,25.13486154948836,-1.6475107875819288
speechbrain/speechbrain,6,56.296780091553885,53.12446238952426,20.418721433779872,55.27233443792292,51.128544386547176,21.887579001121253,-1.8197233517883888
psf/requests,3,64.1270011338292,67.98847227396891,27.851273540734763,62.80190967218249,66.67845667385097,29.144000074593155,-2.066354949113121
python/cpython,3,58.34742736229935,58.3787619705117,29.147581211934924,57.08425667461518,57.006343308435845,30.156614278843502,-2.1649123959497008
modin-project/modin,3,76.8413953429592,91.99017145282244,28.1218754395108,74.82365766108803,89.60477207360913,29.729608979812127,-2.6258472700366555
freqtrade/freqtrade,5,68.19344113929363,68.6540545999633,25.95678427295483,66.26123434042236,63.028946284839655,25.05792713619593,-2.8334202917322937
scipy/scipy,3,61.77550083678647,60.56926207887021,28.60820554783734,59.95189157014982,56.4651671977927,30.36444285466851,-2.9519943050801087
ansible/awx,3,71.58367239059405,72.00844266446275,27.325278053855687,69.44922708688539,69.16010982074755,27.21213746541225,-2.981748815654673
zulip/zulip,7,67.70339660117553,65.73865527917303,24.548042386016707,65.64700103591686,63.490988807627126,25.0791925808973,-3.037359524770081
pypa/pipenv,6,61.17214558050517,58.991735325427165,29.345736428556183,59.13352234777761,56.445091762842594,26.50691287083085,-3.332600505314385
streamlit/streamlit,13,83.65775473067654,90.7832558912739,18.978678087860366,80.79102746847218,87.78921905485511,21.42608533495038,-3.426732251461156
python-poetry/poetry,6,66.8195327790911,64.9003012384472,28.859223068359853,64.31876093951806,60.102491058194445,26.763597691601426,-3.7425760635602336
Nuitka/Nuitka,6,68.17509835643403,70.03428324297984,26.257877645673467,65.52462730158659,66.64378417230753,28.56062203077556,-3.887740712877615
pyg-team/pytorch_geometric,3,60.33140693425711,55.990367443235975,19.24638678254869,57.82067209831675,54.65908979348929,20.49036375213599,-4.16157183053314
secdev/scapy,3,55.72657946901296,52.78355489307404,29.12361135070853,53.34809034869349,51.60102201256432,30.33928729383021,-4.268141240648075
huggingface/transformers,8,61.124232229606015,63.382250662675375,34.93795171643774,58.40324345067181,57.4798538410365,29.087233573102893,-4.451571299436745
goauthentik/authentik,4,77.05569079486251,72.08839155203296,22.056655992201133,73.55913655131275,68.28318364595535,23.74502734981352,-4.537697615168081
NVIDIA/Megatron-LM,7,63.868431293089486,62.90266067120129,18.743685904346723,60.91636999662151,57.195033725205256,28.38116239814665,-4.622097704139768
PostHog/posthog,11,67.9369454242911,63.48230275465068,24.006896815187776,64.58671028498631,59.72639055865856,27.85409237559817,-4.9313891261688925
huggingface/sentence-transformers,3,65.97165845698592,57.73270372290436,23.67965632506261,62.709192760882765,56.21016468856352,26.470375767683112,-4.945253420042959
dagster-io/dagster,7,69.16763057890508,65.3195580684234,26.25682973446758,65.70999472290714,61.67390063099685,27.28204186606781,-4.998921933654402
plasma-umass/scalene,6,66.9120876814332,67.71925137840692,21.798258802196727,63.5059327771512,65.73283392825357,22.8288133158817,-5.090492648351706
