Repository,Stars,Age_Years,AI_Score,Pre_Commits,Pre_Issues,Pre_Avg_Resolution_Hours,Pre_Issue_Rate_Per_Month,Pre_Fix_Percent,Pre_Revert_Percent,Pre_Avg_Lines_Changed
NVIDIA-NeMo/NeMo,17169,6.8,10,303,394,1360.310095177665,65.66666666666667,63.03630363036304,9.9009900990099,1769.138613861386
NVIDIA/Megatron-LM,16224,7.1,7,336,111,23852.27472222223,18.5,23.214285714285715,0.2976190476190476,153.73511904761904
wkentaro/labelme,15819,10.0,2,38,210,8553.284364672365,35.0,31.57894736842105,5.263157894736842,18.23684210526316
hummingbot/hummingbot,18468,7.1,3,1000,1217,8387.426921418773,202.83333333333331,29.2,1.7000000000000002,897.034
ansible/awx,15400,9.0,3,828,1806,10684.73100939373,301.0,26.44927536231884,2.0531400966183577,962.1871980676328
dagster-io/dagster,15430,8.0,7,1000,1149,10208.16279650834,191.5,24.2,0.8,701.389
lra/mackup,15223,13.1,6,58,86,35783.288658392434,14.333333333333334,13.79310344827586,0.0,10.120689655172416
Nuitka/Nuitka,14804,13.0,6,836,1061,5168.269633428754,176.83333333333334,25.47846889952153,0.2392344497607655,625.7105263157895
beetbox/beets,15078,15.7,5,266,1007,9636.157459989505,167.83333333333334,21.052631578947366,0.3759398496240601,192.7744360902256
pyodide/pyodide,14569,8.2,5,208,330,13195.201194241688,55.0,26.923076923076923,1.4423076923076923,142.89423076923077
nltk/nltk,14602,16.7,6,181,227,13494.892695413437,37.833333333333336,32.59668508287293,4.41988950276243,226.292817679558
scipy/scipy,14662,15.2,3,979,1592,25702.21488707681,265.3333333333333,31.46067415730337,1.0214504596527068,866.1634320735444
idank/explainshell,14044,12.7,2,2,92,65015.74105620154,15.333333333333334,50.0,0.0,14.0
saltstack/salt,15371,15.2,3,962,2378,28392.383296115266,396.3333333333333,32.12058212058212,1.351351351351351,283.8898128898129
PaddlePaddle/PaddleDetection,14195,6.5,3,336,1278,3591.9474407018565,213.0,47.91666666666667,1.1904761904761905,306.3988095238095
geldata/gel,14086,8.9,3,586,282,8619.467341269841,47.0,41.46757679180888,1.3651877133105803,167.30204778156997
dask/dask,13820,11.3,3,292,859,10100.647901348038,143.16666666666666,21.91780821917808,1.0273972602739725,119.86986301369863
evilsocket/opensnitch,13579,9.1,3,89,138,5622.531132478633,23.0,37.07865168539326,0.0,222.42696629213484
redis/redis-py,13523,16.5,8,229,201,8294.99675879397,33.5,16.593886462882097,0.0,254.9825327510917
sshuttle/sshuttle,13307,11.6,3,49,74,7680.131101851851,12.333333333333334,26.53061224489796,0.0,22.571428571428573
plasma-umass/scalene,13406,6.4,6,528,64,4556.24981060606,10.666666666666666,17.803030303030305,1.1363636363636365,43.84848484848485
DLR-RM/stable-baselines3,13208,6.0,3,51,235,3129.966086956522,39.16666666666666,58.82352941176471,3.92156862745098,64.0
dbcli/pgcli,13145,11.6,3,5,150,43108.77121737509,25.0,20.0,0.0,47.8
python-pillow/Pillow,13553,13.8,3,610,528,9898.012250938811,88.0,11.9672131147541,0.1639344262295081,36.98360655737705
pypa/pipx,12778,7.6,3,16,141,16762.76906167979,23.5,18.75,0.0,17.5625
Kludex/starlette,12279,7.9,3,54,194,12091.74540927896,32.333333333333336,33.33333333333333,0.0,39.42592592592592
icloud-photos-downloader/icloud_photos_downloader,11910,10.0,5,27,63,18871.050422453704,10.5,18.51851851851852,0.0,2.0
apache/tvm,13328,9.6,3,1000,399,12902.929995822891,66.5,50.8,4.6,273.193
secdev/scapy,12263,10.6,3,122,161,4653.392183048432,26.83333333333333,40.98360655737705,2.459016393442623,266.3196721311475
dbt-labs/dbt-core,12719,10.2,6,512,891,6612.915020762552,148.5,28.90625,1.171875,414.25390625
ludwig-ai/ludwig,11685,7.4,2,152,196,21698.668374433106,32.666666666666664,26.973684210526315,0.0,1054.6842105263158
kornia/kornia,11193,7.7,10,263,185,21949.89999392836,30.83333333333333,55.13307984790875,1.520912547528517,149.16349809885932
great-expectations/great_expectations,11458,8.7,6,560,365,4072.358660578386,60.833333333333336,38.75,5.892857142857142,531.0785714285714
speechbrain/speechbrain,11511,6.0,6,1000,285,3234.3855766145207,47.5,21.4,0.5,460.761
simonw/datasette,11025,8.5,3,184,256,5773.957351712615,42.66666666666666,19.021739130434785,1.0869565217391304,54.34782608695652
kedro-org/kedro,10863,7.1,3,303,182,5041.03981276857,30.33333333333333,16.5016501650165,2.31023102310231,1247.8943894389438
cupy/cupy,10925,9.5,3,1000,458,13622.480508996214,76.33333333333333,28.000000000000004,0.8999999999999999,352.906
numba/numba,11012,14.2,3,1000,912,14489.878628976488,152.0,33.2,1.4,457.36
django-cms/django-cms,10635,17.2,6,5,244,41540.25939986282,40.66666666666666,20.0,0.0,1355.6
wandb/wandb,11042,9.1,5,307,945,6113.347977610983,157.5,27.36156351791531,3.5830618892508146,392.3680781758958
triton-inference-server/server,10635,7.6,3,268,595,3015.1768666475755,99.16666666666669,42.16417910447761,1.8656716417910448,237.77238805970148
rq/rq,10625,14.5,3,33,217,25642.4748018648,36.16666666666666,42.42424242424242,0.0,53.57575757575758
nodejs/node-gyp,10609,14.3,3,22,270,8541.76870222222,45.0,22.727272727272727,0.0,44.04545454545455
Chia-Network/chia-blockchain,10847,6.8,2,758,2160,1275.900458746386,360.0,24.538258575197887,3.16622691292876,141.5382585751979
ultralytics/yolov3,10566,7.7,3,6,1047,803.6347683858644,174.5,50.0,0.0,1875.1666666666667
facebookresearch/hydra,10349,6.9,6,64,247,1637.9433181542197,41.16666666666666,29.6875,0.0,100.0625
fossasia/visdom,10257,9.3,3,27,100,11641.665359477123,16.666666666666668,3.7037037037037033,0.0,806.0370370370371
vega/altair,10368,10.6,3,54,327,19963.292977346275,54.5,27.77777777777778,0.0,2360.4444444444443
modin-project/modin,10385,7.9,3,230,954,11599.182454874985,159.0,50.43478260869565,0.4347826086956521,169.26521739130436
Netflix/metaflow,10078,6.6,6,147,169,19473.282777777786,28.166666666666668,38.095238095238095,5.442176870748299,283.687074829932
yzhao062/pyod,9834,8.6,3,125,62,8239.781710526313,10.333333333333334,26.4,3.2,104.56
pycaret/pycaret,9769,6.4,5,642,1229,5169.132750655456,204.83333333333331,27.570093457943923,1.557632398753894,1399.557632398754
